outcode,county
HU13,Yorkshire
HU14,Yorkshire
HU15,Yorkshire
HU16,Yorkshire
HU17,Yorkshire
HU18,Yorkshire
HU19,Yorkshire
HU2,Yorkshire
HU20,Yorkshire
HU3,Yorkshire
HU4,Yorkshire
HU5,Yorkshire
HU6,Yorkshire
HU7,Yorkshire
HU8,Yorkshire
HU9,Yorkshire
HX1,Yorkshire
HX2,Yorkshire
HX3,Yorkshire
HX4,Yorkshire
HX5,Yorkshire
HX6,Yorkshire
HX7,Yorkshire
IG1,Essex
IG10,Essex
IG11,Essex
IG2,Essex
IG3,Essex
IG4,Essex
IG5,Essex
IG6,Essex
IG7,Essex
IG8,Essex
IG9,Essex
IP1,Suffolk
IP10,Suffolk
IP11,Suffolk
IP12,Suffolk
IP13,Suffolk
IP14,Suffolk
IP15,Suffolk
IP16,Suffolk
IP17,Suffolk
IP18,Suffolk
IP19,Suffolk
IP2,Suffolk
IP20,Norfolk
IP21,Suffolk
IP22,Suffolk
IP23,Suffolk
IP24,Norfolk
IP25,Norfolk
IP26,Norfolk
IP27,Suffolk
IP28,Suffolk
IP29,Suffolk
IP3,Suffolk
IP30,Suffolk
IP31,Suffolk
IP32,Suffolk
IP33,Suffolk
IP4,Suffolk
IP5,Suffolk
IP6,Suffolk
IP7,Suffolk
IP8,Suffolk
IP9,Suffolk
IP98,Norfolk
